playlist_name,track_name,artists,album,duration_ms,spotify_id,spotify_url
Workout,Chak Lein De,Kailash Kher,Chandni Chowk To China,262687,7FROOyFNVDaTbnnBcghUXL,https://open.spotify.com/track/7FROOyFNVDaTbnnBcghUXL
Workout,Apna Time Aayega,"DIVINE, Ranveer Singh, Dub Sharma",Gully Boy (Original Motion Picture Soundtrack),140463,5FLgOuLoVwwUUF7IL36Lux,https://open.spotify.com/track/5FLgOuLoVwwUUF7IL36Lux
Workout,Zinda,"Shankar-Ehsaan-Loy, Siddharth Mahadevan",Bhaag Milkha Bhaag (Original Motion Picture Soundtrack),210857,7vZz8oJ5qAqB9MghufRK5k,https://open.spotify.com/track/7vZz8oJ5qAqB9MghufRK5k
Workout,Challa,"Romy, Vivek Hariharan, Shashwat Sachdev, Kumaar",Uri - The Surgical Strike (Original Motion Picture Soundtrack),207780,7GjfRKsWOScFTXoX8s0Ln4,https://open.spotify.com/track/7GjfRKsWOScFTXoX8s0Ln4
PBMN,Dil Kay Isharay,Taha G,Dil Kay Isharay,188421,2JgSxQenl3eRwewgBUWyKU,https://open.spotify.com/track/2JgSxQenl3eRwewgBUWyKU
PBMN,Dopamine,BØRNS,Dopamine,224373,62ZXL1CWLJDiDWUZUhfLfU,https://open.spotify.com/track/62ZXL1CWLJDiDWUZUhfLfU
PBMN,Rung,Shamoon Ismail,Juice,183942,5qlsGohL4JSjYFYnCsljHM,https://open.spotify.com/track/5qlsGohL4JSjYFYnCsljHM
PBMN,Sukoon,"Hassan & Roshaan, Shae Gill",Day 5,255764,3DBCCSY8ys75I4T8iK2TTA,https://open.spotify.com/track/3DBCCSY8ys75I4T8iK2TTA
PBMN,Weak,AJR,The Click,201159,3BuLtAmXKy5uQYl4ED1zBT,https://open.spotify.com/track/3BuLtAmXKy5uQYl4ED1zBT
PBMN,At My Worst,Pink Sweat$,The Prelude,170344,0ri0Han4IRJhzvERHOZTMr,https://open.spotify.com/track/0ri0Han4IRJhzvERHOZTMr
PBMN,The Less I Know The Better,Tame Impala,Currents,216320,6K4t31amVTZDgR3sKmwUJJ,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
PBMN,Udd Chala,Taba Chake,Udd Chala,286181,7n6DDEpcqkhkiGhXwexF9I,https://open.spotify.com/track/7n6DDEpcqkhkiGhXwexF9I
PBMN,Sober Up (feat. Rivers Cuomo),"AJR, Rivers Cuomo",The Click,218763,7bXvOMQ3UrcTS1dO9Ppzsg,https://open.spotify.com/track/7bXvOMQ3UrcTS1dO9Ppzsg
PBMN,Burn the House Down,AJR,The Click (Deluxe Edition),212689,4u8Gkqyg87iGSW3hQbbnQZ,https://open.spotify.com/track/4u8Gkqyg87iGSW3hQbbnQZ
PBMN,Electric Love,BØRNS,Dopamine,218106,2GiJYvgVaD2HtM8GqD9EgQ,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
PBMN,Marijuana,Shamoon Ismail,Cookie,186985,1C9DajYq19423BwN85bNf0,https://open.spotify.com/track/1C9DajYq19423BwN85bNf0
PBMN,Somebody (2024),"Gotye, FISHER, Chris Lake, Kimbra, Sante Sansone",Somebody (2024),153518,0agQ9vIV7NP4dntGKLcCXO,https://open.spotify.com/track/0agQ9vIV7NP4dntGKLcCXO
PBMN,Where Are You Now,"Lost Frequencies, Calum Scott",All Stand Together,149066,3mfER4ORePHvN35cbZ3dkV,https://open.spotify.com/track/3mfER4ORePHvN35cbZ3dkV
PBMN,Past Lives,BØRNS,Dopamine,274320,1Dr5JexwA15wmKe7Y7maA9,https://open.spotify.com/track/1Dr5JexwA15wmKe7Y7maA9
PBMN,All I Want,Kodaline,In A Perfect World (Expanded Edition),305746,0NlGoUyOJSuSHmngoibVAs,https://open.spotify.com/track/0NlGoUyOJSuSHmngoibVAs
PBMN,The Night We Met,Lord Huron,Strange Trails,208211,3hRV0jL3vUpRrcy398teAU,https://open.spotify.com/track/3hRV0jL3vUpRrcy398teAU
PBMN,weak when ur around,blackbear,dead,169500,3UWkbO4emEOu9YUeOGq3vU,https://open.spotify.com/track/3UWkbO4emEOu9YUeOGq3vU
PBMN,Vertigo,Khalid,Suncity,270414,06GcodDliPWAYFX2LSFLIu,https://open.spotify.com/track/06GcodDliPWAYFX2LSFLIu
PBMN,THATS WHAT I WANT,Lil Nas X,MONTERO,143901,0e8nrvls4Qqv5Rfa2UhqmO,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
PBMN,Heat Waves,Glass Animals,Dreamland,238805,3USxtqRwSYz57Ewm6wWRMp,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp
PBMN,Sweater Weather,The Neighbourhood,I Love You.,240400,2QjOHCTQ1Jl3zawyYOpxh6,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
PBMN,Ophelia,The Lumineers,Cleopatra,160097,14AyWf6y7KlWWLfAjdKMKI,https://open.spotify.com/track/14AyWf6y7KlWWLfAjdKMKI
PBMN,Hot Rod,Dayglow,Fuzzybrain,204014,5euumi7eqEgmxvCIJw2pSp,https://open.spotify.com/track/5euumi7eqEgmxvCIJw2pSp
PBMN,Gloom,Djo,DECIDE,120808,6L8JVXMBLDZeyhBKr0lrj8,https://open.spotify.com/track/6L8JVXMBLDZeyhBKr0lrj8
PBMN,Pumped Up Kicks,Foster The People,Torches,239600,7w87IxuO7BDcJ3YUqCyMTT,https://open.spotify.com/track/7w87IxuO7BDcJ3YUqCyMTT
PBMN,Another Day Of Sun,La La Land Cast,La La Land (Original Motion Picture Soundtrack),228173,5kRBzRZmZTXVg8okC7SJFZ,https://open.spotify.com/track/5kRBzRZmZTXVg8okC7SJFZ
PBMN,California Dreamin' - Single Version,The Mamas & The Papas,If You Can Believe Your Eyes & Ears,162373,4s6LhHAV5SEsOV0lC2tjvJ,https://open.spotify.com/track/4s6LhHAV5SEsOV0lC2tjvJ
